judge_type,mean_qwk,mae,mean_bias,corr,model
unsteered,0.18400701365817645,0.67,-0.35,0.2824323408118273,Qwen3-4B
evil_pos,0.24741286809876764,0.77,0.04,0.3155682032071015,Qwen3-4B
evil_neg,0.15613659981439185,0.65,-0.24,0.34849600038598394,Qwen3-4B
apathetic_pos,0.24147226116313442,0.78,-0.11,0.28274417698643456,Qwen3-4B
apathetic_neg,0.15788714471849347,0.79,0.28,0.35221506063543706,Qwen3-4B
hallucinating_pos,0.22324092844824558,0.72,-0.06,0.29186594649857917,Qwen3-4B
hallucinating_neg,0.16346636341373186,0.71,-0.38,0.25418253903111787,Qwen3-4B
humorous_pos,0.14215320668065398,0.82,-0.23,0.2018965213891119,Qwen3-4B
humorous_neg,0.17967743638475348,0.7,-0.24,0.3069236041306711,Qwen3-4B
impolite_pos,0.2318283116632993,0.79,-0.29,0.2392641063313269,Qwen3-4B
impolite_neg,0.16990723746537703,0.71,-0.05,0.31328496064847916,Qwen3-4B
optimistic_pos,0.22156643940123294,0.71,0.08,0.3570706554775405,Qwen3-4B
optimistic_neg,0.167462439521263,0.64,-0.28,0.3346769322816993,Qwen3-4B
sycophantic_pos,0.226273459069171,0.81,0.01,0.27946496307476737,Qwen3-4B
sycophantic_neg,0.16594673442499527,0.67,-0.29,0.31720102265658523,Qwen3-4B
openai,0.5000541807918857,0.42,0.06,0.6467541216459771,Qwen3-4B
unsteered,0.2526195543586848,0.69,-0.37,0.33554770857966965,Qwen3-32B
evil_pos,0.25510330958792915,0.71,-0.37,0.3449333188763427,Qwen3-32B
evil_neg,0.2659528876920182,0.67,-0.35,0.3545015108007904,Qwen3-32B
apathetic_pos,0.2567340488401517,0.7,-0.36,0.3342816969779731,Qwen3-32B
apathetic_neg,0.26289175963089007,0.67,-0.37,0.349906052985694,Qwen3-32B
hallucinating_pos,0.24828137002050044,0.68,-0.36,0.33589684134125275,Qwen3-32B
hallucinating_neg,0.2737002997002997,0.7,-0.4,0.34173973716870715,Qwen3-32B
humorous_pos,0.2689523656914961,0.68,-0.41,0.33557646191263885,Qwen3-32B
humorous_neg,0.28323340533950825,0.68,-0.32,0.3725343993310526,Qwen3-32B
impolite_pos,0.2540481257872562,0.69,-0.39,0.33507003160361293,Qwen3-32B
impolite_neg,0.24828137002050044,0.68,-0.36,0.33589684134125275,Qwen3-32B
optimistic_pos,0.2643295110686415,0.68,-0.34,0.3479916193443356,Qwen3-32B
optimistic_neg,0.2663669663669664,0.7,-0.41,0.3325503260757642,Qwen3-32B
sycophantic_pos,0.2743669663669664,0.7,-0.41,0.34378228604856764,Qwen3-32B
sycophantic_neg,0.24665799339712385,0.69,-0.35,0.32966144610522174,Qwen3-32B
openai,0.5176384456691363,0.4,0.03,0.6595760494491452,Qwen3-32B
unsteered,0.2393916470976632,0.82,-0.5,0.3495743304409175,gpt-oss-20b
evil_pos,0.035821382868808295,0.96,-0.69,0.20355282671213445,gpt-oss-20b
evil_neg,0.3090185520452116,0.67,-0.11,0.395420771334218,gpt-oss-20b
apathetic_pos,0.21207034459883078,0.84,-0.5,0.2797475503593383,gpt-oss-20b
apathetic_neg,0.197555781247661,0.84,-0.65,0.3117146000796786,gpt-oss-20b
hallucinating_pos,0.31245782289181456,0.73,-0.38,0.4397926576622916,gpt-oss-20b
hallucinating_neg,0.09578539630111821,0.99,-0.61,0.14063254698748032,gpt-oss-20b
humorous_pos,0.22744041167711107,0.86,-0.62,0.37660194163492355,gpt-oss-20b
humorous_neg,0.19913678913678917,0.78,-0.28,0.3011277289292439,gpt-oss-20b
impolite_pos,0.24141075236641113,0.84,-0.56,0.3778088152025986,gpt-oss-20b
impolite_neg,0.209111842807377,0.77,-0.46,0.332099673256558,gpt-oss-20b
optimistic_pos,0.3087728244597111,0.71,-0.28,0.421304647878837,gpt-oss-20b
optimistic_neg,0.20717679791506532,0.86,-0.53,0.3450929568064706,gpt-oss-20b
sycophantic_pos,0.12886914023417406,0.91,-0.45,0.24418146109067204,gpt-oss-20b
sycophantic_neg,0.2033055610521529,0.85,-0.66,0.3018361370201251,gpt-oss-20b
openai,0.4679295137567328,0.44,0.03,0.6108389029381246,gpt-oss-20b
